CloneID	Chromosome	Start	End	Case1.Ref	Case1.Test	Case2.Ref	Case2.Test	Case3.Ref	Case3.Test
RP11-625H13	4	141437467	141593375	2074	2371	1869	2253	2668	1808
RP11-392B5	4	141578331	141804149	153	115	189	180	313	111
RP11-93N10	4	141715715	141882553	81	83	109	100	NA	NA
RP11-495M18	4	141882299	142106568	1180	1294	NA	NA	1233	705
RP11-108L13	4	141960733	142108832	75	77	NA	NA	141	88
RP11-638M20	4	142128099	142305369	NA	NA	NA	NA	2286	1608
RP11-95J1	4	142154208	142338151	247	211	NA	NA	386	141
RP11-739C17	4	142288783	142505608	969	1090	1240	1597	1353	946
RP11-586L23	4	142417256	142594690	1658	1823	1690	1871	1894	1380
RP11-632A8	4	142443465	142616200	2744	3037	2720	3446	2022	1503
RP11-704A10	4	142487790	142662659	1728	1806	1954	2181	1445	1071
RP11-583A12	4	142519002	142724341	3540	4231	3311	4065	3956	3335
RP11-57O8	4	142642945	142824899	157	151	192	198	NA	NA
RP11-513N12	4	142769343	142925393	2206	2274	2067	2458	3016	2329
RP11-393K13	4	142836233	143009874	NA	NA	136	106	547	218
RP11-421A21	4	142859298	143022905	NA	NA	NA	NA	350	109
RP11-42D5	4	142933355	143110378	128	113	130	117	NA	NA
RP11-718E21	4	143052683	143242593	360	345	NA	NA	418	191
RP11-109N11	4	143128368	143302817	NA	NA	NA	NA	NA	NA
RP11-235M20	4	143176842	143326199	501	408	555	543	771	319
RP11-11D21	4	143224704	143381366	NA	NA	NA	NA	NA	NA
RP11-739G21	4	143260924	143434297	1693	1866	1540	1782	1287	1123
RP11-674N18	4	143307310	143493977	1382	1370	1422	1623	1039	717
RP11-612P17	4	143407748	143591989	3634	5193	3838	5084	3955	4045
RP11-652M19	4	143574556	143750910	989	1243	975	1109	1283	875
RP11-793G24	4	143642694	143808010	NA	NA	383	290	NA	NA
RP11-438I22	4	143761161	143954394	NA	NA	NA	NA	NA	NA
RP11-803P18	4	143798377	143991380	NA	NA	234	254	NA	NA
RP11-610J9	4	143876415	144041997	125	105	167	136	NA	NA
RP11-420F17	4	143982368	144159145	165	152	NA	NA	469	179
RP11-169N21	4	144020022	144226487	265	208	NA	NA	NA	NA
RP11-17G22	4	144077937	144238805	NA	NA	509	555	632	368
RP11-284M14	4	144177873	144311216	256	253	328	327	317	149
RP11-192F13	4	144187188	144353073	397	293	429	396	806	431
RP11-710F4	4	144196324	144385421	264	282	314	320	NA	NA
RP11-54P19	4	144265385	144433979	103	72	129	109	NA	NA
RP11-75J16	4	144341200	144535632	1209	1511	1179	1298	501	419
RP11-713I8	4	144409117	144575852	877	1012	1305	1134	1006	685
RP11-479K17	4	144445580	144667160	1901	1848	2036	2337	1870	1471
RP11-273D23	4	144551012	144745564	1793	2007	1921	2287	2013	1526
RP11-266O16	4	144667287	144839922	928	1105	1189	1785	1562	1193
RP11-630L22	4	144751003	144910650	2607	3308	2980	3638	2724	2392
RP11-481K16	4	144809897	145011573	2206	2608	2095	2669	2243	1514
RP11-424A19	4	144932748	145118829	136	87	NA	NA	387	177
RP11-10K7	4	144932777	145066544	NA	NA	NA	NA	248	116
RP11-90I8	4	145052646	145230154	129	99	NA	NA	NA	NA
RP11-661C18	4	145128857	145423430	2342	2804	2194	2451	1835	1179
RP11-673E1	4	145160931	145332282	573	594	700	665	995	481
RP11-59O3	4	145363067	145551231	173	191	NA	NA	421	291
RP11-265H2	4	145527501	145685224	281	283	217	226	334	153
RP11-166K6	4	145566283	145740669	791	662	630	583	1872	1230
RP11-605B12	4	145585738	145777880	2441	2554	2447	2819	2855	1949
RP11-24P3	4	145749790	145935059	182	169	NA	NA	NA	NA
RP11-260M22	4	145931533	146131440	1193	1425	1207	1289	2052	1724
RP11-318C13	4	146019010	146208384	583	540	646	692	835	520
RP11-431J18	4	146141090	146299461	861	752	788	939	1102	734
RP11-566J16	4	146264874	146438873	2534	2827	2306	2667	3321	2497
RP11-242P12	4	146303888	146483851	478	372	650	538	1287	606
RP11-655I23	4	146420086	146593963	1988	1973	2424	2261	3239	1775
RP11-48D12	4	146563963	146734237	365	406	395	436	482	275
RP11-116B20	4	146679099	146862648	341	288	338	295	1489	899
RP11-643P17	4	146813586	146985982	2082	2266	2136	2490	2868	2162
RP11-197J9	4	146854995	147028142	244	216	NA	NA	492	169
RP11-294H8	4	146938010	147097788	922	900	1129	1217	1278	838
RP11-547L1	4	147086008	147251198	3263	3495	2209	2643	2411	1934
RP11-619E13	4	147223499	147408670	4394	5656	5178	6001	5335	4209
RP11-6L6	4	147369487	147573462	497	369	579	465	946	402
RP11-667D12	4	147810039	147993325	199	181	210	241	212	108
RP11-766D7	4	148040199	148233483	437	365	472	458	716	397
RP11-292D4	4	148204997	148334036	NA	NA	NA	NA	152	80
RP11-622E18	4	148339811	148480222	1528	1646	1653	1983	894	546
RP11-752O9	4	148404169	148554814	548	377	627	507	NA	NA
RP11-660D7	4	148472257	148668709	820	1047	837	1097	735	415
RP11-781C11	4	148652666	148826210	1422	1512	1313	1803	1766	1216
RP11-764H21	4	148894949	149119967	NA	NA	NA	NA	NA	NA
RP11-315D13	4	149051525	149239970	135	112	197	181	NA	NA
RP11-789C8	4	149225297	149409070	491	415	463	622	NA	NA
RP11-148P11	4	149478317	149643292	232	212	255	292	595	355
RP11-186E11	4	149563431	149716739	143	135	NA	NA	353	114
RP11-295F16	4	149811572	149974699	289	245	346	320	NA	NA
RP11-502G16	4	149994192	150206883	3084	3437	2540	3313	2249	2081
RP11-313L19	4	150110158	150289353	421	271	NA	NA	854	501
RP11-416K10	4	150215220	150382609	198	149	205	148	360	177
RP11-760L22	4	150344643	150527674	1003	935	1171	1031	2119	1103
RP11-812F18	4	150518000	150729138	183	154	240	274	NA	NA
RP11-143N9	4	150654859	150831221	415	414	NA	NA	NA	NA
RP11-699B3	4	150766292	150982688	595	658	647	818	664	554
RP11-707F2	4	150878266	151070548	648	793	821	818	700	374
RP11-526A4	4	151031333	151224377	978	1000	1009	979	1306	850
RP11-265J16	4	151224962	151393161	254	175	NA	NA	369	188
RP11-773A1	4	151415487	151609668	653	505	675	764	811	371
RP11-483E9	4	151601406	151789376	2572	3035	2268	2631	1754	1508
RP11-64M20	4	151669415	151856907	176	166	188	192	463	233
RP11-646G1	4	151793605	151953163	600	624	652	719	757	501
CTD-2017M14	4	151826442	151941273	281	407	NA	NA	NA	NA
RP11-173A1	4	151850229	152004008	512	531	NA	NA	783	610
RP11-362F9	4	151895789	152049547	NA	NA	NA	NA	NA	NA
RP11-654I6	4	151986508	152180947	1728	2087	1214	1189	1779	1516
RP11-573M24	4	152057616	152207309	1404	1916	1384	2051	1394	1044
RP11-317O22	4	152074982	152253284	418	427	460	590	871	673
RP11-1150B15	4	152296442	152443690	311	423	226	254	220	179
RP11-416F11	4	152370710	152543856	860	1077	NA	NA	620	309
RP11-263D5	4	152549575	152719076	674	631	876	942	324	166
RP11-610P16	4	152651195	152826796	1614	1865	NA	NA	1238	947
RP11-2J13	4	152758893	152906211	255	193	NA	NA	279	109
RP11-593E9	4	152784430	152984989	4817	5415	4600	5679	4620	3020
RP11-164P12	4	152905003	153046159	1124	1166	1150	1071	4568	3003
RP11-810N11	4	152986067	153207190	501	456	585	639	363	169
RP11-707N14	4	153076620	153117019	350	310	575	419	875	385
RP11-712L4	4	153153018	153323996	1041	927	919	929	952	416
RP11-48O18	4	153330740	153497704	NA	NA	692	645	709	258
RP11-638L18	4	153335456	153513204	2362	2814	2899	3497	2903	2133
RP11-809G23	4	153420067	153631041	1851	1907	1967	1945	1442	828
RP11-768M2	4	153575385	153781716	641	474	502	489	761	484
RP11-555K12	4	153694200	153892039	1084	1069	1274	1250	976	704
RP11-640I24	4	153856882	154050832	4790	4894	4943	5594	4683	3097
RP11-70N2	4	153991394	154182087	590	681	634	613	1368	910
RP11-761L20	4	154165841	154401418	2180	1971	1938	2594	1976	1533
RP11-77N6	4	154387339	154559873	NA	NA	NA	NA	NA	NA
RP11-559F19	4	154538018	154714177	2164	2527	2369	2558	2496	2044
RP11-144D4	4	154646964	154822311	324	266	422	379	NA	NA
RP11-764M6	4	154708233	154896905	292	241	268	214	378	143
RP11-94P16	4	154766299	154919528	135	100	140	105	483	207
RP11-509I22	4	154944784	155101943	597	637	951	1148	920	553
RP11-259G7	4	154996598	155197703	163	131	NA	NA	327	104
RP11-671I13	4	155162793	155357000	961	1035	836	1020	NA	NA
RP11-567F17	4	155232915	155416649	873	847	902	1041	1377	954
RP11-262M1	4	155287180	155462754	203	187	237	206	469	230
RP11-9N12	4	155358608	155557205	316	218	340	312	665	262
RP11-565P7	4	155417890	155578171	3707	4513	4541	5830	4413	2926
RP11-290O12	4	155557206	155773701	1050	1310	1051	961	999	684
RP11-111A7	4	155752243	155925970	604	642	564	577	641	396
RP11-655D22	4	155767211	155803753	1513	1655	1909	1732	1427	828
RP11-358E7	4	155863374	156062402	955	711	781	822	922	464
RP11-142O4	4	156028586	156189429	166	152	183	195	NA	NA
RP11-23P2	4	156030577	156194402	669	646	729	859	NA	NA
RP11-361P8	4	156196705	156368230	584	461	634	536	1234	629
RP11-71A6	4	156261697	156422322	NA	NA	NA	NA	315	163
RP11-92A5	4	156408355	156573242	NA	NA	NA	NA	NA	NA
RP11-68G22	4	156482507	156635573	163	149	NA	NA	512	311
RP11-759G24	4	156573276	156759712	264	201	347	270	NA	NA
RP11-77C22	4	156764510	156916496	NA	NA	460	407	740	388
RP11-475I1	4	156937296	157094211	223	178	314	241	371	135
RP11-683H8	4	157024046	157200177	483	491	671	677	632	390
RP13-609K24	4	157041388	157211068	300	240	NA	NA	NA	NA
CTD-2234K24	4	157128760	157281071	148	140	210	191	NA	NA
RP11-371B17	4	157222675	157362296	NA	NA	326	256	994	452
RP11-805B6	4	157294235	157462010	108	103	NA	NA	NA	NA
RP11-175H11	4	157440169	157618146	370	392	236	225	266	140
RP11-749I11	4	157618147	157799153	NA	NA	NA	NA	NA	NA
RP11-208P10	4	157759877	157915441	933	757	1161	1183	2348	1664
RP11-171N4	4	157811578	157972040	148	127	139	143	266	145
RP11-781N3	4	157964435	158121785	646	716	806	886	563	326
RP11-154F14	4	157974503	158171450	115	117	104	99	NA	NA
RP11-37E18	4	158138666	158302297	180	129	187	162	501	245
RP11-704A20	4	158302298	158474910	1327	1476	1008	984	620	509
RP11-543A12	4	158492934	158640860	1597	2083	1692	2068	1648	1526
RP11-660B5	4	158556204	158739005	431	332	395	414	441	228
RP11-592D7	4	158661496	158862662	5048	5000	5058	5108	4731	3318
RP11-758K21	4	158951555	159101346	204	175	255	207	NA	NA
RP11-312A15	4	159067198	159247216	123	95	166	148	230	88
RP11-423E20	4	159180573	159369968	272	250	399	380	592	302
RP11-89C4	4	159318132	159497775	NA	NA	NA	NA	NA	NA
RP11-464N24	4	159446296	159633227	2860	3020	2693	3162	2428	2170
RP11-110A19	4	159447203	159600099	347	420	269	347	NA	NA
RP11-63H14	4	159600094	159777961	NA	NA	NA	NA	NA	NA
RP11-336I11	4	159663381	159853884	196	171	NA	NA	NA	NA
CTD-2005A22	4	159797422	159921944	257	213	303	230	NA	NA
RP11-796K13	4	159850564	160043302	NA	NA	214	243	285	160
RP11-117D6	4	159969920	160127117	120	92	157	129	191	84
RP11-789K9	4	160030420	160227064	329	382	NA	NA	597	377
RP11-811N13	4	160131216	160328348	130	118	NA	NA	237	73
RP11-620C21	4	160242163	160436283	2072	2580	2180	2642	2230	1836
RP11-524B5	4	160419299	160628365	1848	2253	2056	2382	1544	1086
RP11-138A23	4	160588408	160738024	NA	NA	NA	NA	265	119
RP11-113D11	4	160682974	160837001	NA	NA	NA	NA	NA	NA
RP11-746G6	4	160717778	160883784	2533	3028	2433	2852	1015	633
RP11-396M10	4	160888160	161084877	121	104	164	138	449	171
RP11-6C14	4	161051334	161193374	88	78	NA	NA	NA	NA
RP11-359D11	4	161105848	161299285	431	308	496	416	647	370
RP11-94P1	4	161119735	161274443	75	71	NA	NA	NA	NA
RP11-533O6	4	161297265	161485904	2493	3043	2362	2966	2057	1977
RP11-295F8	4	161371348	161556106	544	570	610	702	633	420
RP11-983A9	4	161677829	161868632	320	384	558	651	553	307
RP11-1298O2	4	161683765	161916843	NA	NA	NA	NA	NA	NA
RP11-48F23	4	161882327	162035470	163	121	187	150	NA	NA
RP11-343P7	4	162001348	162194325	672	685	598	757	1544	1310
RP11-251P16	4	162123090	162296236	NA	NA	NA	NA	NA	NA
CTD-2281P22	4	162295141	162414560	NA	NA	NA	NA	NA	NA
RP11-47B1	4	162305355	162449440	NA	NA	NA	NA	NA	NA
RP11-1241O11	4	162395256	162575840	233	261	245	231	500	311
RP11-137J16	4	162443827	162612637	117	83	171	136	NA	NA
RP11-234O6	4	162603793	162737624	179	159	NA	NA	NA	NA
RP11-470O4	4	162655777	162862122	404	473	427	464	520	343
RP11-119H13	4	162677615	162847128	346	392	452	529	570	363
RP11-166B13	4	162804400	162964386	NA	NA	NA	NA	NA	NA
RP11-143I19	4	162892984	163068711	301	378	391	454	183	97
RP11-359G9	4	162917545	163109775	NA	NA	NA	NA	319	161
RP11-10O3	4	163092237	163265570	94	114	NA	NA	NA	NA
RP11-758D14	4	163184570	163327984	156	215	193	276	NA	NA
RP11-795P24	4	163281460	163475804	280	372	NA	NA	232	139
RP11-345P11	4	163420411	163594812	898	994	923	1053	519	371
RP11-422D16	4	163618486	163792407	NA	NA	NA	NA	NA	NA
RP11-449K17	4	163746491	163929441	411	382	412	469	NA	NA
RP11-768G18	4	163855704	164035279	627	1012	767	907	643	578
RP11-527M7	4	164095434	164277479	1799	1891	1421	1721	1031	892
RP11-200G20	4	164263562	164435810	NA	NA	400	424	417	293
RP11-637I24	4	164311751	164344833	461	531	636	832	335	255
RP11-12G4	4	164424311	164594135	695	791	613	734	539	381
RP11-757G19	4	164473487	164641403	357	291	526	414	NA	NA
RP11-637K18	4	164600589	164808356	2581	3211	2517	3063	2887	2664
RP11-513F17	4	164717451	164924509	1970	2367	2156	2833	2612	1900
RP11-728O4	4	164872545	165051277	1306	1474	1392	1455	1641	999
CTD-2009D24	4	165031329	165189489	147	128	189	232	271	159
RP11-732M3	4	165137003	165316949	NA	NA	NA	NA	NA	NA
RP11-360H22	4	165240602	165409872	NA	NA	NA	NA	NA	NA
RP11-628F19	4	165397309	165586031	1713	2203	1580	1964	2324	1916
RP11-456I24	4	165592414	165770070	497	527	402	410	356	277
RP11-521O15	4	165735921	165911092	1360	1664	1536	1979	1610	1167
RP11-75A5	4	165823883	166003589	577	642	778	843	1005	752
RP11-730F4	4	165976804	166146671	201	185	156	192	218	153
RP11-634F16	4	166039672	166231079	1384	1663	NA	NA	1337	1095
RP11-636F10	4	166120051	166268387	2262	2538	2271	2640	2084	1517
RP11-366M4	4	166161777	166325680	84	84	NA	NA	NA	NA
CTD-2323L6	4	166213604	166314217	183	169	NA	NA	NA	NA
RP11-458I16	4	166321160	166498786	518	481	NA	NA	992	447
RP11-630K1	4	166469352	166620727	3352	3820	3612	4483	3722	3256
RP11-469O11	4	166588726	166797740	2118	2410	2046	2102	1718	1311
RP11-313O15	4	166708478	166868463	2135	2312	2795	3264	2037	914
RP11-496O21	4	166860513	167047231	2336	2723	2244	2739	1736	1530
RP11-340B18	4	167031455	167203534	134	120	NA	NA	NA	NA
RP11-371E22	4	167180857	167367965	89	67	98	95	361	124
RP11-6L19	4	167293160	167453527	NA	NA	89	86	NA	NA
RP11-577K9	4	167389031	167568100	2285	2564	2335	3006	1808	1311
RP11-597M2	4	167419753	167580185	2375	3033	2386	3042	1678	1499
RP11-448B14	4	167420767	167656678	313	269	406	391	NA	NA
RP11-368M2	4	167472337	167657389	NA	NA	NA	NA	183	80
RP11-13P1	4	167543911	167708978	NA	NA	NA	NA	NA	NA
RP11-217C7	4	167658128	167823027	547	635	441	502	447	398
RP13-1004J22	4	167697245	167852387	101	104	NA	NA	NA	NA
RP11-637G12	4	167743837	167895619	672	691	780	1023	1406	869
RP11-603J14	4	167998698	168171806	1710	2188	1952	2548	1439	1297
RP11-526J22	4	168139148	168307095	1264	1521	1267	1649	955	908
RP11-714P8	4	168220000	168356533	757	608	1150	844	NA	NA
RP11-521M18	4	168222100	168461338	1386	1758	1513	1751	1250	987
RP11-238D8	4	168256829	168387311	286	267	NA	NA	682	288
RP11-508H21	4	168263059	168461338	1893	2053	1648	1995	2627	1896
RP11-201G15	4	168368684	168526812	1108	1126	1090	1221	2334	1310
RP11-755L8	4	168487793	168703425	NA	NA	607	652	NA	NA
RP11-470N17	4	168654723	168859140	615	555	NA	NA	905	471
RP11-229I15	4	168763661	168937738	236	247	220	261	NA	NA
RP11-147G8	4	168895540	169069325	109	95	NA	NA	241	121
RP11-57B18	4	168972764	169118719	224	185	237	218	NA	NA
RP11-663K16	4	169062402	169233945	498	496	593	604	621	376
RP11-505I12	4	169179140	169420112	2355	2911	2252	2894	2552	2302
RP11-759F7	4	169314527	169503759	678	593	875	666	NA	NA
RP11-114E20	4	169350879	169518142	184	146	229	185	716	365
RP11-615D5	4	169422965	169595350	2221	2676	2094	2566	2618	2210
RP11-812C14	4	169528760	169714558	1433	1332	978	1167	934	696
RP11-963C20	4	169610140	169792836	507	479	350	355	759	479
RP11-610J23	4	169783667	169973878	5494	6437	6243	7362	6118	5132
RP11-592K15	4	169911819	170109724	5992	7673	8172	8792	6425	5633
RP11-635L1	4	170034781	170220469	NA	NA	NA	NA	2420	1799
RP11-449D10	4	170233093	170381068	2507	3007	2387	2533	2052	2017
RP11-601D17	4	170269539	170451207	2315	2822	2335	2768	2711	1977
RP11-805F24	4	170404734	170562475	357	360	345	344	255	87
RP11-566J7	4	170617358	170782059	1136	1229	1280	1232	1092	772
RP11-613O14	4	170774640	170986455	705	970	753	903	991	844
RP11-264F3	4	170864167	171053779	1245	1276	1342	1409	NA	NA
RP11-132L10	4	171002474	171173096	240	188	228	205	NA	NA
RP11-440K12	4	171107478	171295174	3422	4328	NA	NA	2364	1760
RP11-152M5	4	171283840	171463763	NA	NA	350	307	743	366
RP11-161C9	4	171368643	171526498	443	492	NA	NA	NA	NA
RP11-789C1	4	171479974	171674863	154	188	NA	NA	240	139
RP11-505I8	4	171675306	171862461	1131	1266	NA	NA	1225	733
RP11-19F2	4	171798296	171952597	NA	NA	NA	NA	NA	NA
RP11-67F4	4	171906277	172087344	100	93	NA	NA	273	147
RP11-17M21	4	171915339	172063261	137	105	144	139	354	150
RP11-215E7	4	172060978	172177690	155	137	NA	NA	NA	NA
RP11-777C12	4	172120358	172331829	NA	NA	83	82	NA	NA
RP11-557G13	4	172196937	172345467	85	76	NA	NA	NA	NA
RP11-344G13	4	172230242	172443635	NA	NA	NA	NA	238	118
RP11-620M18	4	172458123	172644962	166	149	NA	NA	NA	NA
RP11-717H13	4	172473781	172643973	732	1331	1059	1053	593	496
RP11-475J3	4	172522844	172730494	287	311	362	385	310	162
RP11-455I13	4	172548855	172730494	NA	NA	181	151	305	103
RP11-766L18	4	172560713	172736856	NA	NA	NA	NA	NA	NA
RP11-800D8	4	172627704	172839459	158	168	181	226	NA	NA
RP11-784D7	4	172751981	172923038	NA	NA	100	87	NA	NA
RP11-387F1	4	172820671	173025109	383	362	348	417	803	481
RP11-259O11	4	172889102	173094293	NA	NA	NA	NA	181	77
RP11-97E7	4	172891672	173054827	NA	NA	NA	NA	NA	NA
RP11-357G8	4	173073930	173269561	385	361	271	286	NA	NA
CTD-2104D15	4	173184151	173351764	457	602	NA	NA	NA	NA
RP11-533K12	4	173227142	173412735	NA	NA	NA	NA	NA	NA
RP13-572I18	4	173281094	173461797	180	165	268	239	NA	NA
RP11-452B13	4	173412736	173586687	1023	1318	1083	1540	887	869
CTD-2123O7	4	173527870	173672921	207	255	245	353	NA	NA
CTD-2225J12	4	173561810	173712841	351	424	NA	NA	677	465
RP11-637L14	4	173576021	173764840	863	1152	970	1276	1110	951
RP11-472F4	4	173706078	173883608	1723	2139	1513	1884	1580	1481
RP11-319N12	4	173772371	173972897	NA	NA	NA	NA	NA	NA
RP11-553L15	4	173938048	174130376	618	630	604	704	993	564
RP11-630M10	4	174089709	174282732	1162	1403	1229	1601	1649	1180
RP11-140M23	4	174098250	174275166	218	139	NA	NA	666	347
RP11-590P11	4	174231952	174412267	3799	4724	3491	4292	3727	3059
RP11-702P4	4	174370354	174560119	254	224	361	423	NA	NA
RP11-696E22	4	174519421	174679715	1245	1364	885	852	1086	806
RP11-483A22	4	174588807	174753317	2097	2220	2235	2566	1693	1391
CTD-2220L14	4	174655369	174734308	469	410	448	494	496	245
CTD-2225K23	4	174828420	174936045	772	1092	948	1109	571	461
RP11-604G23	4	174862660	174921518	1556	2148	1602	2604	1566	1466
RP11-475B2	4	174887846	175085561	1113	1191	941	1159	473	361
RP11-789I21	4	174951224	175130520	NA	NA	804	811	1034	452
RP11-545B1	4	175059619	175260636	2991	3704	3087	3522	2023	1366
RP11-469G14	4	175156713	175315370	NA	NA	184	176	NA	NA
RP11-648I3	4	175258098	175430436	239	156	397	346	568	294
RP11-388B19	4	175318539	175511213	330	325	428	421	NA	NA
RP11-320O17	4	175424306	175629913	1577	2000	1192	1442	1698	1331
RP11-711G11	4	175607053	175802151	731	833	741	1074	580	476
RP11-440I14	4	175735154	175898748	277	243	329	326	708	321
RP11-569I19	4	175814892	176008948	1717	1820	1851	2154	2952	1914
RP11-490A22	4	175835586	176013294	1177	1454	1042	1248	1391	962
RP11-134F18	4	175978065	176136048	NA	NA	145	150	334	224
CTD-2035J11	4	176213704	176334427	NA	NA	251	273	NA	NA
RP11-391J13	4	176322148	176479592	NA	NA	120	97	NA	NA
RP11-287F9	4	176488860	176713737	412	350	435	505	582	454
CTD-2214P15	4	176557592	176690557	275	294	262	345	286	222
RP11-598D14	4	176604078	176810301	2393	2625	2144	2459	2958	2273
RP11-633J24	4	176737319	176889197	NA	NA	NA	NA	NA	NA
RP11-628A14	4	176821565	177030066	813	1061	1088	1288	1065	786
CTD-2110K14	4	176828185	176938566	363	487	444	546	337	259
RP11-257P8	4	176971825	177153905	185	169	179	176	NA	NA
RP11-737G6	4	177140476	177296644	1301	1529	1458	1520	1781	811
RP11-598O12	4	177207481	177408710	2536	3019	2145	2573	2383	1995
RP11-520H6	4	177360995	177584909	1739	2105	1757	2302	1331	1109
RP11-792G16	4	177486684	177709639	310	222	289	250	NA	NA
RP11-489J24	4	177670847	177867634	1393	1585	1351	1461	1530	1248
RP11-758F5	4	177882466	178045029	246	231	327	327	593	246
RP11-230I1	4	178005323	178156300	1596	1846	1050	1112	863	520
RP11-205J7	4	178191805	178325446	421	335	NA	NA	826	508
RP11-321J12	4	178246138	178402018	95	70	NA	NA	NA	NA
RP11-657K3	4	178301828	178496996	905	1066	837	919	NA	NA
RP11-662D9	4	178416646	178599940	1086	1193	1190	1563	948	880
RP11-818M13	4	178521757	178728764	331	248	301	298	NA	NA
RP11-59E23	4	178631936	178813330	NA	NA	165	150	320	162
RP11-173E20	4	178790729	178961315	309	219	393	330	NA	NA
RP11-144O24	4	178884070	179043720	497	535	414	465	795	544
RP11-162G9	4	178996335	179177847	511	538	577	596	1102	850
RP11-500N18	4	179137824	179341670	1532	1808	1281	1695	1206	912
RP11-604K8	4	179237237	179392415	1116	1530	1213	1514	1184	840
RP11-710I24	4	179299077	179438189	NA	NA	749	670	545	311
RP11-62B4	4	179394055	179539050	142	146	145	174	NA	NA
RP11-53A18	4	179438190	179595636	NA	NA	NA	NA	NA	NA
RP11-452K3	4	179533294	179728748	NA	NA	NA	NA	NA	NA
RP11-140N6	4	179599689	179759942	124	81	136	112	521	192
RP11-415G8	4	179668841	179873269	230	203	342	362	884	484
RP11-529G15	4	179853123	180025435	775	883	767	881	828	772
RP11-696K24	4	179977093	180177857	802	893	806	964	1068	624
RP11-552O13	4	180053732	180243707	2240	2607	2279	2731	2613	2032
RP11-154N22	4	180165898	180345089	161	146	142	180	457	321
RP11-115G5	4	180401677	180574255	NA	NA	117	100	NA	NA
RP11-790P19	4	180531493	180713909	108	96	124	133	NA	NA
RP11-660P20	4	180676664	180850530	807	767	1054	1021	NA	NA
RP11-25A13	4	180819685	180983867	500	564	509	603	731	557
RP11-433E11	4	180934719	181093787	532	471	530	655	501	270
RP13-578E6	4	180954882	181102675	553	526	746	534	1308	892
RP11-493B2	4	181074859	181249302	1573	1799	1556	1736	2205	1695
RP11-673C21	4	181131235	181315791	249	298	331	350	301	195
RP11-231C10	4	181224827	181389071	NA	NA	442	469	599	279
RP11-801K10	4	181315796	181504977	445	517	641	699	NA	NA
RP11-240M1	4	181439103	181605046	217	206	231	269	NA	NA
RP11-478H9	4	181491828	181668482	1717	1931	1909	2313	2258	1818
RP11-484B15	4	181611083	181802376	NA	NA	436	468	NA	NA
RP11-614H7	4	181695499	181865154	1040	1199	992	1117	1449	1042
RP11-442N5	4	181750706	181936596	1840	1826	1573	1952	1264	956
RP11-460H9	4	181917107	182108244	2670	3534	1505	2015	2032	1607
RP11-686L19	4	182019660	182188420	802	957	770	964	917	656
RP11-522M1	4	182094041	182295827	765	898	901	888	947	625
RP11-400H15	4	182202439	182412177	NA	NA	NA	NA	489	242
RP11-195N20	4	182320192	182508865	NA	NA	495	483	609	346
RP11-665C14	4	182456985	182653645	1198	963	1288	1248	2150	1127
RP11-62B7	4	182640508	182787429	408	409	508	564	1280	701
RP11-18K13	4	182688067	182852019	228	171	249	247	721	371
RP11-14N12	4	182793004	182961421	256	215	NA	NA	638	341
RP11-537K6	4	182946955	183118724	274	230	NA	NA	NA	NA
RP11-451B7	4	183001715	183179492	2766	3370	NA	NA	1792	1330
RP11-170P9	4	183096194	183260131	NA	NA	135	122	NA	NA
RP11-647P11	4	183260137	183434196	2175	2549	2206	2602	1898	1591
RP11-4K1	4	183342358	183509468	95	90	120	114	NA	NA
RP11-734O11	4	183478638	183668748	1084	1132	1211	1210	1599	916
RP11-521B22	4	183641907	183798039	1286	1608	1349	1697	1425	1014
RP11-452H17	4	183683558	183869719	1745	2134	1687	2083	1674	1438
RP11-295A7	4	183711001	183892579	607	612	579	667	628	498
RP11-384D13	4	183872345	184070628	272	223	NA	NA	NA	NA
RP11-713K18	4	184018863	184221179	519	442	554	486	475	272
RP11-188P17	4	184151913	184325885	320	237	395	348	NA	NA
RP11-162D2	4	184206830	184371077	446	413	556	497	1737	1099
RP11-202F1	4	184273474	184482570	NA	NA	258	216	NA	NA
RP11-630P20	4	184371500	184555088	3315	4125	2669	2966	2529	1697
RP11-804G8	4	184476777	184701268	790	1052	1060	966	1276	669
RP11-451F20	4	184504011	184699930	641	560	966	720	1310	570
RP11-692E14	4	184618361	184830829	938	1059	1247	1330	945	547
CTD-2245F11	4	184685842	184841246	241	297	NA	NA	406	271
RP11-367N14	4	184761411	184944721	NA	NA	580	431	795	439
RP11-51B8	4	184864026	185051985	211	180	275	262	433	197
RP11-688D2	4	184865089	185067171	NA	NA	NA	NA	650	277
RP11-614P19	4	185045462	185213737	4151	4518	4646	5024	5273	4619
RP11-15L11	4	185085018	185233355	85	52	NA	NA	NA	NA
RP11-99L17	4	185221107	185385345	373	472	NA	NA	648	433
RP11-297K5	4	185221916	185385025	1867	2437	1917	1914	2360	2044
RP11-673L24	4	185281109	185451958	1889	1934	2131	2695	1475	993
CTD-2326E1	4	185369482	185492648	1328	1941	1684	1705	1090	985
RP11-762F11	4	185390824	185611786	NA	NA	332	255	803	316
RP11-818I13	4	185461995	185684100	331	267	NA	NA	NA	NA
RP11-765A5	4	185493375	185695649	567	380	608	536	722	283
RP11-582A12	4	185679335	185906550	4980	5497	5188	6197	5387	3665
RP11-367I6	4	185922600	186097881	555	432	703	474	1210	619
RP11-701P16	4	186053910	186257632	85	69	NA	NA	NA	NA
